gene	idx
A4GALT	0
A4GNT	1
AATK	2
ABCA1	3
ABCA12	4
ABCA2	5
ABCA4	6
ABCA7	7
ABCB5	8
ABCC12	9
ABCC8	10
ABCD2	11
ABHD3	12
ABLIM1	13
ABR	14
ABRA	15
ABTB2	16
ACAP1	17
ACCSL	18
ACE	19
ACHE	20
ACKR4	21
ACMSD	22
ACOD1	23
ACP3	24
ACP5	25
ACSL6	26
ACSS3	27
ACTC1	28
ACTG2	29
ACTL10	30
ACTL6B	31
ACTL7A	32
ACTL9	33
ACTN1	34
ACTN3	35
ACTRT1	36
ACTRT2	37
ACYP2	38
ADA	39
ADA2	40
ADAD2	41
ADAM12	42
ADAM2	43
ADAM7	44
ADAM8	45
ADAMTS1	46
ADAMTS12	47
ADAMTS15	48
ADAMTS16	49
ADAMTS18	50
ADAMTS7	51
ADAMTS8	52
ADAMTSL1	53
ADAMTSL3	54
ADAT2	55
ADCY1	56
ADD3	57
ADGRA1	58
ADGRB3	59
ADGRE5	60
ADGRF1	61
ADGRF4	62
ADGRG1	63
ADGRG5	64
ADGRL4	65
ADH1A	66
ADH4	67
ADH6	68
ADIPOQ	69
ADIRF	70
ADM	71
ADO	72
ADORA1	73
ADRA1B	74
ADRA2A	75
ADRA2B	76
ADRB2	77
ADTRP	78
AEN	79
AFAP1L2	80
AFDN	81
AFM	82
AFP	83
AGK	84
AGMO	85
AGO4	86
AGPAT4	87
AGR3	88
AGTR1	89
AGTRAP	90
AGXT	91
AHI1	92
AHNAK	93
AHR	94
AHSG	95
AICDA	96
AIF1	97
AIM2	98
AIMP2	99
AIPL1	100
AIRE	101
AK4	102
AK5	103
AK8	104
AKAIN1	105
AKR1C3	106
AKR1C8	107
AKR1D1	108
AKTIP	109
ALCAM	110
ALDH1A1	111
ALDH3B2	112
ALDOC	113
ALOX15	114
ALOX5	115
ALOX5AP	116
AMBN	117
AMDHD2	118
AMELX	119
AMER2	120
AMER3	121
AMHR2	122
AMIGO2	123
AMOTL2	124
AMPD1	125
AMPD3	126
ANGPT4	127
ANGPTL2	128
ANGPTL3	129
ANGPTL4	130
ANGPTL7	131
ANK1	132
ANK3	133
ANKRD10	134
ANKRD13B	135
ANKRD2	136
ANKRD30BL	137
ANKRD31	138
ANKRD34C	139
ANKRD37	140
ANKRD40CL	141
ANKS4B	142
ANKZF1	143
ANLN	144
ANO2	145
ANOS1	146
ANTXR2	147
ANTXRL	148
ANXA1	149
ANXA10	150
ANXA2R	151
ANXA4	152
AOAH	153
AOC1	154
AP1G2	155
AP3B2	156
APBA2	157
APC2	158
APELA	159
APLNR	160
APOA1	161
APOA4	162
APOA5	163
APOB	164
APOBEC3A	165
APOBEC3G	166
APOBEC3H	167
APOBEC4	168
APOBR	169
APOC3	170
APOD	171
APOF	172
APOL1	173
APOL2	174
APOL3	175
APOL5	176
APOL6	177
APOLD1	178
APP	179
AQP10	180
AQP2	181
AQP3	182
AQP9	183
AR	184
ARC	185
AREG	186
ARHGAP11A	187
ARHGAP11B	188
ARHGAP19	189
ARHGAP22	190
ARHGAP24	191
ARHGAP25	192
ARHGAP36	193
ARHGAP4	194
ARHGAP40	195
ARHGAP45	196
ARHGDIG	197
ARHGEF12	198
ARHGEF15	199
ARHGEF16	200
ARHGEF18	201
ARHGEF3	202
ARHGEF38	203
ARHGEF4	204
ARHGEF6	205
ARID5A	206
ARID5B	207
ARIH2OS	208
ARL14EPL	209
ARL4D	210
ARL5B	211
ARL6IP1	212
ARMC3	213
ARMC9	214
ARPIN	215
ARPP21	216
ARRB1	217
ARRDC2	218
ARRDC3	219
ARSA	220
ART4	221
ARX	222
ASAH2	223
ASAP1	224
ASB10	225
ASB15	226
ASB18	227
ASB5	228
ASCL1	229
ASCL2	230
ASCL3	231
ASF1B	232
ASIC5	233
ASIP	234
ASPA	235
ASPM	236
ASPN	237
ASTL	238
ASTN1	239
ASXL2	240
ATAD2	241
ATAD3B	242
ATAD5	243
ATCAY	244
ATF3	245
